2018-03-01__09:18:08  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2]
2018-03-01__09:18:14  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2]
2018-03-01__09:18:20  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:18:26  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:18:32  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:18:38  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:18:44  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:18:50  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:18:55  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:19:03  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:19:08  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:19:14  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:19:20  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:19:26  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:19:32  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:19:38  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:19:44  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:19:50  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
2018-03-01__09:19:56  [zgx,zy,pi] [pi,Failed_with_perm] [pi_192.168.1.10_pts/0,zy_192.168.1.77_pts/1,zgx_192.168.1.207_pts/2,zy_192.168.1.77_pts/3]
